land_cover_id,year,modis_land_cover,esa_land_cover,npv_biome_type,main_id,source_id
land_cover_id-265a57f6-1,2021,Woody Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,BC-MAIN-265a57f6,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-b3681e03-1,2021,Savannas,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,NT-MAIN-b3681e03,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-d6748d40-1,2021,Mixed Forests,Tree Cover,,QC-MAIN-d6748d40,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-69bb36c1-1,2021,Mixed Forests,Tree Cover,Cool Evergreen Needleleaf Forest,QC-MAIN-69bb36c1,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-60ba74c4-1,2021,Savannas,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,SK-MAIN-60ba74c4,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-b99d4cb2-1,2021,Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,NT-MAIN-b99d4cb2,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-a498ddc6-1,2021,Savannas,Tree Cover,Cold Evergreen Needleleaf Forest,NL-MAIN-a498ddc6,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-bfbcd72e-1,2021,Woody Savannas,Bare/Sparse Vegetation,Cool Mixed Forest,ON-MAIN-bfbcd72e,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-f3e6ff08-1,2021,Mixed Forests,Bare/Sparse Vegetation,Cool Mixed Forest,ON-MAIN-f3e6ff08,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-3aa117d8-1,2021,Grasslands,Built-up,Cool Mixed Forest,QC-MAIN-3aa117d8,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-c1c7eb99-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,QC-MAIN-c1c7eb99,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-01c1e81f-1,2021,Croplands,Built-up,Cool Mixed Forest,QC-MAIN-01c1e81f,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-eb47f7c7-1,2021,Water,Built-up,Cool Evergreen Needleleaf Forest,BC-MAIN-eb47f7c7,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-c0e3a48b-1,2021,Woody Savannas,Built-up,Cool Mixed Forest,QC-MAIN-c0e3a48b,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-92628f16-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,QC-MAIN-92628f16,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-8d6616b4-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,QC-MAIN-8d6616b4,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-0ec39ce0-1,2021,Water,Bare/Sparse Vegetation,Cold Evergreen Needleleaf Forest,NT-MAIN-0ec39ce0,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-e82266c5-1,2021,Evergreen Needleleaf Forest,Permanent Water Bodies,Cold Evergreen Needleleaf Forest,QC-MAIN-e82266c5,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-11c40b1f-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,QC-MAIN-11c40b1f,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-3e146840-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,QC-MAIN-3e146840,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-7b3b4c8b-1,2021,Urban & Built-up,Built-up,Cool Mixed Forest,QC-MAIN-7b3b4c8b,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
land_cover_id-eda110b0-1,2021,Mixed Forests,Tree Cover,Cool Mixed Forest,ON-MAIN-eda110b0,https://doi.org/10.5067/MODIS/MCD12Q1.061 + https://doi.org/10.5281/zenodo.7254221
