climate_category_id,year,scenario,category,main_id,source_id
CC-c139de6d-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",NL-MAIN-c139de6d,https://doi.org/10.1038/s41597-023-02549-6
CC-842ba1b4-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",NL-MAIN-842ba1b4,https://doi.org/10.1038/s41597-023-02549-6
CC-ca488f19-1991_2020-historical-1,1991_2020,historical,"Dsc - Cold, dry summer, cold summer",YT-MAIN-ca488f19,https://doi.org/10.1038/s41597-023-02549-6
CC-70d629b4-1991_2020-historical-1,1991_2020,historical,"ET - Polar, tundra",YT-MAIN-70d629b4,https://doi.org/10.1038/s41597-023-02549-6
CC-efff21d3-1991_2020-historical-1,1991_2020,historical,"ET - Polar, tundra",BC-MAIN-efff21d3,https://doi.org/10.1038/s41597-023-02549-6
CC-0684a5d8-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",SK-MAIN-0684a5d8,https://doi.org/10.1038/s41597-023-02549-6
CC-f7fde5b4-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",MB-MAIN-f7fde5b4,https://doi.org/10.1038/s41597-023-02549-6
CC-ae473a4e-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",QC-MAIN-ae473a4e,https://doi.org/10.1038/s41597-023-02549-6
CC-7a11ae49-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",SK-MAIN-7a11ae49,https://doi.org/10.1038/s41597-023-02549-6
CC-ca9625ce-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",AB-MAIN-ca9625ce,https://doi.org/10.1038/s41597-023-02549-6
CC-b7cdf82c-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",NT-MAIN-b7cdf82c,https://doi.org/10.1038/s41597-023-02549-6
CC-d47616e5-1991_2020-historical-1,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",ON-MAIN-d47616e5,https://doi.org/10.1038/s41597-023-02549-6
CC-e1641dfb-1991_2020-historical-1,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",BC-MAIN-e1641dfb,https://doi.org/10.1038/s41597-023-02549-6
