protected_area_id,land_name,land_type,distance_km,main_id,source_id
18576,Wanapitei Provincial Park (Natural Environment Class),Provincial Park,33.295,ON-MAIN-2bb07cd3,https://www.protectedplanet.net
18576,Wanapitei Provincial Park (Natural Environment Class),Provincial Park,36.851,ON-MAIN-de2f9639,https://www.protectedplanet.net
18576,Wanapitei Provincial Park (Natural Environment Class),Provincial Park,42.747,ON-MAIN-6e9b2449,https://www.protectedplanet.net
18576,Wanapitei Provincial Park (Natural Environment Class),Provincial Park,37.746,ON-MAIN-f080c409,https://www.protectedplanet.net
18576,Wanapitei Provincial Park (Natural Environment Class),Provincial Park,38.354,ON-MAIN-63b394c3,https://www.protectedplanet.net
18576,Wanapitei Provincial Park (Natural Environment Class),Provincial Park,44.892,ON-MAIN-52224e1e,https://www.protectedplanet.net
18576,Wanapitei Provincial Park (Natural Environment Class),Provincial Park,23.317,ON-MAIN-48fe2205,https://www.protectedplanet.net
18578,White Lake Provincial Park (Natural Environment Class),Provincial Park,9.151,ON-MAIN-6e9be24e,https://www.protectedplanet.net
18578,White Lake Provincial Park (Natural Environment Class),Provincial Park,30.871,ON-MAIN-64bbe7e6,https://www.protectedplanet.net
18578,White Lake Provincial Park (Natural Environment Class),Provincial Park,48.51,ON-MAIN-f4fc3276,https://www.protectedplanet.net
18582,Michipicoten Island Provincial Park (Natural Environment Class),Provincial Park,26.469,ON-MAIN-cb85213a,https://www.protectedplanet.net
18582,Michipicoten Island Provincial Park (Natural Environment Class),Provincial Park,38.121,ON-MAIN-c5fefb01,https://www.protectedplanet.net
18584,Birds Hill Provincial Park,Provincial Park,12.614,MB-MAIN-0d5c2cae,https://www.protectedplanet.net
18584,Birds Hill Provincial Park,Provincial Park,12.266,MB-MAIN-b4ca1426,https://www.protectedplanet.net
18602,Bow Valley Provincial Park,Provincial Park,0.333,AB-MAIN-8434dce0,https://www.protectedplanet.net
18621,Young's Point Provincial Park,Provincial Park,29.668,AB-MAIN-35d0dc71,https://www.protectedplanet.net
18629,CHAMPION LAKES PARK,A - Park,8.664,BC-MAIN-3bb6b7cd,https://www.protectedplanet.net
18629,CHAMPION LAKES PARK,A - Park,19.609,BC-MAIN-feb13c30,https://www.protectedplanet.net
18630,CROOKED RIVER PARK,A - Park,35.215,BC-MAIN-382acb18,https://www.protectedplanet.net
18633,DARKE LAKE PARK,A - Park,33.479,BC-MAIN-4724f4ba,https://www.protectedplanet.net
18637,ENEAS LAKES PARK,A - Park,27.23,BC-MAIN-4724f4ba,https://www.protectedplanet.net
18639,GITNADOIKS RIVER PARK,A - Park,23.624,BC-MAIN-eb47f7c7,https://www.protectedplanet.net
18647,MOMICH LAKES PARK,A - Park,33.434,BC-MAIN-18bed6d7,https://www.protectedplanet.net
18657,STAGLEAP PARK,A - Park,47.058,BC-MAIN-3bb6b7cd,https://www.protectedplanet.net
18658,STIKINE RIVER PARK,A - Park,39.298,BC-MAIN-b031959a,https://www.protectedplanet.net
18658,STIKINE RIVER PARK,A - Park,7.233,BC-MAIN-12730593,https://www.protectedplanet.net
18658,STIKINE RIVER PARK,A - Park,42.101,BC-MAIN-c720b195,https://www.protectedplanet.net
18658,STIKINE RIVER PARK,A - Park,30.003,BC-MAIN-8eb8be0d,https://www.protectedplanet.net
18677,Marcel-Léger Ecological Reserve,Réserve écologique,21.336,QC-MAIN-c8966bdc,https://www.protectedplanet.net
18677,Marcel-Léger Ecological Reserve,Réserve écologique,15.662,QC-MAIN-2cf66e65,https://www.protectedplanet.net
18677,Marcel-Léger Ecological Reserve,Réserve écologique,20.415,QC-MAIN-c1cc9f7c,https://www.protectedplanet.net
18677,Marcel-Léger Ecological Reserve,Réserve écologique,15.662,QC-MAIN-eb73fd68,https://www.protectedplanet.net
18677,Marcel-Léger Ecological Reserve,Réserve écologique,48.323,QC-MAIN-11c40b1f,https://www.protectedplanet.net
18677,Marcel-Léger Ecological Reserve,Réserve écologique,48.108,QC-MAIN-3e146840,https://www.protectedplanet.net
18677,Marcel-Léger Ecological Reserve,Réserve écologique,48.323,QC-MAIN-7b3b4c8b,https://www.protectedplanet.net
18677,Marcel-Léger Ecological Reserve,Réserve écologique,47.243,QC-MAIN-6a26086e,https://www.protectedplanet.net
18692,Opuntia Lake Migratory Bird Sanctuary,Migratory Bird Sanctuary,40.336,SK-MAIN-fbe28fef,https://www.protectedplanet.net
19310,Oak Mountain,Protected Natural Area,21.497,NB-MAIN-3e7d42ac,https://www.protectedplanet.net
19310,Oak Mountain,Protected Natural Area,26.684,NB-MAIN-c1e4dee0,https://www.protectedplanet.net
19318,Fitzgerald's Pond Provincial Park,Provincial Park,9.534,NL-MAIN-d9036091,https://www.protectedplanet.net
19321,Bellevue Beach Provincial Park,Provincial Park,25.47,NL-MAIN-d9036091,https://www.protectedplanet.net
19322,Jack's Pond Provincial Park,Provincial Park,39.134,NL-MAIN-d9036091,https://www.protectedplanet.net
19333,Flatwater Pond Provincial Park,Provincial Park,23.781,NL-MAIN-c139de6d,https://www.protectedplanet.net
19333,Flatwater Pond Provincial Park,Provincial Park,39.409,NL-MAIN-842ba1b4,https://www.protectedplanet.net
