source_id,source_provenance,source_name
AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042071,report,Agnico-Eagle-2023-Sustainability-Performance-Data_25042071
AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042091,report,Agnico-Eagle-2023-Sustainability-Performance-Data_25042091
AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042092,report,Agnico-Eagle-2023-Sustainability-Performance-Data_25042092
AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042112,report,Agnico-Eagle-2023-Sustainability-Performance-Data_25042112
AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042113,report,Agnico-Eagle-2023-Sustainability-Performance-Data_25042113
AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042133,report,Agnico-Eagle-2023-Sustainability-Performance-Data_25042133
AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042134,report,Agnico-Eagle-2023-Sustainability-Performance-Data_25042134
AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042154,report,Agnico-Eagle-2023-Sustainability-Performance-Data_25042154
AgnicoEagleMinesLimited_Agnico-Eagle-2023-Sustainability-Performance-Data_25042155,report,Agnico-Eagle-2023-Sustainability-Performance-Data_25042155
BarrickGoldCorporation_Barrick_2023_Performance-Data,report,Barrick_2023_Performance-Data.xlsx
EldoradoGold_Data,report,Data.xlsx
CenterraGoldInc_Data,report,Data.xlsx
AlamosGoldInc_Data_2023,report,Data_2023.xlsx
ArgonautGoldInc_Data_2023,report,Data_2023.xlsx
EVRAZNorthAmericaInc_Databook_2021,report,Databook_2021
TasekoMinesLimited_ESG_2023,report,ESG_2023.pdf
EldoradoGold_ESG_2023,report,ESG_2023.pdf
SSRMiningInc_ESG_2023,report,ESG_2023.pdf
ImpalaCanadaLtd_ESG_2024,report,ESG_2024.pdf
TacoraResourcesInc._ESG_2024,report,ESG_2024.pdf
WesdomeGoldMinesLtd._ESG_data_2023,report,ESG_data_2023.xlsx
NewGoldInc_ESG_data_2023,report,ESG_data_2023.xlsx
PanAmericanSilverCorp_ESG_data_2023,report,ESG_data_2023.xlsx
EvolutionMiningLtd_EVN_FY24-ESG-Performance-Data_web,report,EVN_FY24-ESG-Performance-Data_web.xlsx
SSRMiningInc_FY2024,report,FY2024
ImpalaCanadaLtd_FY2024,report,FY2024
ArcelorMittal_Factbook_2024,report,Factbook_2024.pdf
PanAmericanSilverCorp._Financial_results,report,Financial_results
Glencore_GLENCORE+Resources+and+Reserves+report+2024,report,GLENCORE+Resources+and+Reserves+report+2024.pdf
Glencore_GLEN_2024-FY_ProductionReport_tables,report,GLEN_2024-FY_ProductionReport_tables.xlsx
Glencore_GLEN_2024_FY_ProductionReport,report,GLEN_2024_FY_ProductionReport
HudbayMineralsInc_Hudbay-2023-Integrated-Annual-Report-Performance-Data,report,Hudbay-2023-Integrated-Annual-Report-Performance-Data.xlsx
ArcelorMittal_IR_2023,report,IR_2023.pdf
HudbayMineralsInc_MDA25,report,MDA25
ImpalaCanadaLtd_MRMR-2024,report,MRMR-2024.pdf
StBarbaraLimited_MRMR-2024,report,MRMR-2024.pdf
NewGoldInc_New_gold_production,report,New_gold_production.xlsx
NewmontCorporation_Newmont-2023-Performance-Data-Tables-V4-locked,report,Newmont-2023-Performance-Data-Tables-V4-locked.xlsx
NewmontCorporation_Operating_statistics_2023,report,Operating_statistics_2023
NewmontCorporation_Operating_statistics_2024,report,Operating_statistics_2024
NewmontCorporation_Operating_statistics_2025,report,Operating_statistics_2025
