carbon_stock_ecosystems_id,pool,variable,unit,value,main_id,facility_group_id,source_id
carbon_stock-23155c25-8,soc,mean_act,tC/ha,102.0,BC-MAIN-23155c25,,https://zenodo.org/records/15777016
carbon_stock-23155c25-9,soc,mean_prim,tC/ha,102.0,BC-MAIN-23155c25,,https://zenodo.org/records/15777016
carbon_stock-23f67ea8-1,agbc,area_ha,ha,47.458786,BC-MAIN-23f67ea8,,https://zenodo.org/records/15777016
carbon_stock-23f67ea8-2,agbc,mean_act,tC/ha,76.0,BC-MAIN-23f67ea8,,https://zenodo.org/records/15777016
carbon_stock-23f67ea8-3,agbc,mean_prim,tC/ha,76.0,BC-MAIN-23f67ea8,,https://zenodo.org/records/15777016
carbon_stock-23f67ea8-4,bgbc,area_ha,ha,47.458786,BC-MAIN-23f67ea8,,https://zenodo.org/records/15777016
carbon_stock-23f67ea8-5,bgbc,mean_act,tC/ha,15.0,BC-MAIN-23f67ea8,,https://zenodo.org/records/15777016
carbon_stock-23f67ea8-6,bgbc,mean_prim,tC/ha,17.0,BC-MAIN-23f67ea8,,https://zenodo.org/records/15777016
carbon_stock-23f67ea8-7,soc,area_ha,ha,47.458786,BC-MAIN-23f67ea8,,https://zenodo.org/records/15777016
carbon_stock-23f67ea8-8,soc,mean_act,tC/ha,71.0,BC-MAIN-23f67ea8,,https://zenodo.org/records/15777016
carbon_stock-23f67ea8-9,soc,mean_prim,tC/ha,71.0,BC-MAIN-23f67ea8,,https://zenodo.org/records/15777016
carbon_stock-265a57f6-1,agbc,area_ha,ha,48.741505,BC-MAIN-265a57f6,,https://zenodo.org/records/15777016
carbon_stock-265a57f6-2,agbc,mean_act,tC/ha,66.0,BC-MAIN-265a57f6,,https://zenodo.org/records/15777016
carbon_stock-265a57f6-3,agbc,mean_prim,tC/ha,66.0,BC-MAIN-265a57f6,,https://zenodo.org/records/15777016
carbon_stock-265a57f6-4,bgbc,area_ha,ha,48.741505,BC-MAIN-265a57f6,,https://zenodo.org/records/15777016
carbon_stock-265a57f6-5,bgbc,mean_act,tC/ha,15.0,BC-MAIN-265a57f6,,https://zenodo.org/records/15777016
carbon_stock-265a57f6-6,bgbc,mean_prim,tC/ha,15.0,BC-MAIN-265a57f6,,https://zenodo.org/records/15777016
carbon_stock-265a57f6-7,soc,area_ha,ha,48.741505,BC-MAIN-265a57f6,,https://zenodo.org/records/15777016
carbon_stock-265a57f6-8,soc,mean_act,tC/ha,60.0,BC-MAIN-265a57f6,,https://zenodo.org/records/15777016
carbon_stock-265a57f6-9,soc,mean_prim,tC/ha,62.0,BC-MAIN-265a57f6,,https://zenodo.org/records/15777016
carbon_stock-382acb18-1,agbc,area_ha,ha,49.825466,BC-MAIN-382acb18,,https://zenodo.org/records/15777016
carbon_stock-382acb18-2,agbc,mean_act,tC/ha,99.0,BC-MAIN-382acb18,,https://zenodo.org/records/15777016
carbon_stock-382acb18-3,agbc,mean_prim,tC/ha,105.0,BC-MAIN-382acb18,,https://zenodo.org/records/15777016
carbon_stock-382acb18-4,bgbc,area_ha,ha,49.825466,BC-MAIN-382acb18,,https://zenodo.org/records/15777016
carbon_stock-382acb18-5,bgbc,mean_act,tC/ha,21.0,BC-MAIN-382acb18,,https://zenodo.org/records/15777016
carbon_stock-382acb18-6,bgbc,mean_prim,tC/ha,25.0,BC-MAIN-382acb18,,https://zenodo.org/records/15777016
carbon_stock-382acb18-7,soc,area_ha,ha,49.825466,BC-MAIN-382acb18,,https://zenodo.org/records/15777016
carbon_stock-382acb18-8,soc,mean_act,tC/ha,63.0,BC-MAIN-382acb18,,https://zenodo.org/records/15777016
carbon_stock-382acb18-9,soc,mean_prim,tC/ha,66.0,BC-MAIN-382acb18,,https://zenodo.org/records/15777016
carbon_stock-3bb6b7cd-1,agbc,area_ha,ha,56.22291,BC-MAIN-3bb6b7cd,,https://zenodo.org/records/15777016
carbon_stock-3bb6b7cd-2,agbc,mean_act,tC/ha,28.0,BC-MAIN-3bb6b7cd,,https://zenodo.org/records/15777016
carbon_stock-3bb6b7cd-3,agbc,mean_prim,tC/ha,62.0,BC-MAIN-3bb6b7cd,,https://zenodo.org/records/15777016
carbon_stock-3bb6b7cd-4,bgbc,area_ha,ha,56.22291,BC-MAIN-3bb6b7cd,,https://zenodo.org/records/15777016
carbon_stock-3bb6b7cd-5,bgbc,mean_act,tC/ha,7.0,BC-MAIN-3bb6b7cd,,https://zenodo.org/records/15777016
carbon_stock-3bb6b7cd-6,bgbc,mean_prim,tC/ha,18.0,BC-MAIN-3bb6b7cd,,https://zenodo.org/records/15777016
carbon_stock-3bb6b7cd-7,soc,area_ha,ha,56.22291,BC-MAIN-3bb6b7cd,,https://zenodo.org/records/15777016
carbon_stock-3bb6b7cd-8,soc,mean_act,tC/ha,55.0,BC-MAIN-3bb6b7cd,,https://zenodo.org/records/15777016
carbon_stock-3bb6b7cd-9,soc,mean_prim,tC/ha,55.0,BC-MAIN-3bb6b7cd,,https://zenodo.org/records/15777016
carbon_stock-3ef4f421-1,agbc,area_ha,ha,48.73122,BC-MAIN-3ef4f421,,https://zenodo.org/records/15777016
carbon_stock-3ef4f421-2,agbc,mean_act,tC/ha,52.0,BC-MAIN-3ef4f421,,https://zenodo.org/records/15777016
carbon_stock-3ef4f421-3,agbc,mean_prim,tC/ha,86.0,BC-MAIN-3ef4f421,,https://zenodo.org/records/15777016
carbon_stock-3ef4f421-4,bgbc,area_ha,ha,48.73122,BC-MAIN-3ef4f421,,https://zenodo.org/records/15777016
carbon_stock-3ef4f421-5,bgbc,mean_act,tC/ha,13.0,BC-MAIN-3ef4f421,,https://zenodo.org/records/15777016
