population_id,year,buffer_size,total_population,main_id,source_id
population-74997012-2025-2,2025,50km,24669.634733136583,ON-MAIN-74997012,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-74997012-2030-1,2030,10km,895.3136030478636,ON-MAIN-74997012,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-74997012-2030-2,2030,50km,25368.758540779418,ON-MAIN-74997012,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-687b8c8d-2025-1,2025,10km,86.88008238958633,ON-MAIN-687b8c8d,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-687b8c8d-2025-2,2025,50km,4180.965277757278,ON-MAIN-687b8c8d,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-687b8c8d-2030-1,2030,10km,89.3484395023125,ON-MAIN-687b8c8d,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-687b8c8d-2030-2,2030,50km,4312.2188655648915,ON-MAIN-687b8c8d,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-7607a50e-2025-1,2025,10km,301.6788492500782,ON-MAIN-7607a50e,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-7607a50e-2025-2,2025,50km,2700.552721022227,ON-MAIN-7607a50e,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-7607a50e-2030-1,2030,10km,310.8264129664749,ON-MAIN-7607a50e,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-7607a50e-2030-2,2030,50km,2786.3023921346125,ON-MAIN-7607a50e,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-52c01ae4-2025-1,2025,10km,0.0,QC-MAIN-52c01ae4,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-52c01ae4-2025-2,2025,50km,0.0,QC-MAIN-52c01ae4,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-52c01ae4-2030-1,2030,10km,0.0,QC-MAIN-52c01ae4,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-52c01ae4-2030-2,2030,50km,0.0,QC-MAIN-52c01ae4,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-eac5a52b-2025-1,2025,10km,10253.559233054419,QC-MAIN-eac5a52b,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-eac5a52b-2025-2,2025,50km,375107.2588208292,QC-MAIN-eac5a52b,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-eac5a52b-2030-1,2030,10km,10479.212729837576,QC-MAIN-eac5a52b,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-eac5a52b-2030-2,2030,50km,389851.46883062704,QC-MAIN-eac5a52b,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-81a288d0-2025-1,2025,10km,113629.27977280482,QC-MAIN-81a288d0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-81a288d0-2025-2,2025,50km,229053.19013165036,QC-MAIN-81a288d0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-81a288d0-2030-1,2030,10km,118605.31734194356,QC-MAIN-81a288d0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
