main_id,facility_name,facility_group_id,facility_group_name,company_id,company_name,city,province,geometry,status,activity_status,development_stage,facility_type,mining_processing_type,commodity_group,commodities,owner(s),operator(s),operation_periods,company_URL,facility_URL,MDO_URL,source_id
SK-MAIN-de2e2f8e,Prairie Lithium,,,CMP-336d5ebc,-,,Saskatchewan,POINT (-103.63518 49.21363),project_facility,Active,Advanced unconventional project,project,,,Lithium (brine),,,,,,,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751
ON-MAIN-e928d96a,Brampton,,,CMP-c48042ef,Asahi Refining Canada Ltd,,Ontario,POINT (-79.722125 43.691066),active_facility,,,manufacturing,Refinery,Precious metals,"Gold, silver",ARE Holdings Inc (100%),Asahi Refining Canada Ltd?,,https://www.asahirefining.com/,,-,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720
NT-MAIN-4f11f183,Nechalacho - Basal Zone,,,CMP-9d03c9d4,Avalon Advanced Materials Inc,,Northwest Territories,POINT (-112.59972 62.11806),project_facility,Active,Advanced project,project,,,"Rare earth elements, niobium, tantalum, zirconium",,,,https://avalonadvancedmaterials.com/,,,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751
ON-MAIN-46f71d5b,Separation Rapids,,,CMP-9d03c9d4,Avalon Advanced Materials Inc,,Ontario,POINT (-94.58258 50.266),project_facility,Active,Advanced project,project,,,Lithium (spodumene),,,,https://avalonadvancedmaterials.com/,,,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751
NU-MAIN-5154702a,Mary River,,,CMP-336d5ebc,-,Pond Inlet,Nunavut,POINT (-78.556869 71.340446),active_facility,,,mining,Open-pit,Iron ore,Iron,"Arcelor Mittal (25.23%), The Energy & Materials Group (74.77%)",Baffinland Iron Mines Corporation,,https://www.baffinland.com/,https://www.baffinland.com/operation/mary-river-mine/,https://miningdataonline.com/property/57/Mary-River-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720
ON-MAIN-6e9be24e,Hemlo (Williams),,,CMP-84fc7d46,Baffinland Iron Mines Corporation,Marathon,Ontario,POINT (-85.91598 48.695726),active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Barrick Gold Corporation (100%),Barrick Gold Corporation,1985–open,https://www.barrick.com/English/home/default.aspx,https://www.barrick.com/English/operations/hemlo/default.aspx,"https://miningdataonline.com/property/49/Hemlo-Williams,-David-Bell-Mine.aspx",https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
AB-MAIN-8434dce0,Baymag,,,CMP-79bcdb91,Barrick Gold Corporation,,Alberta,POINT (-115.210061 51.060022),active_facility,,,manufacturing,Plant,Base metals,Magnesium oxide,Refratechnik (100%),Baymag Inc?,,https://www.baymag.com/,https://www.refra.com/en/Calgary/,-,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720
YT-MAIN-2cc9bb06,Kudz Ze Kayah,,,CMP-336d5ebc,-,,Yukon,POINT (-130.59894 61.47108),project_facility,Active,Advanced project,project,,,"Zinc, lead, copper, silver, gold",,,,,,,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751
NL-MAIN-895cb178,Buchans River,,,CMP-336d5ebc,-,,Newfoundland and Labrador,POINT (-56.855965 48.829018),project_facility,Active,Advanced project,project,,,"Zinc, lead, copper, silver, gold",,,1928–1984; 2006–2010; 2020–open,,,,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751;https://doi.org/10.1038/s41597-024-03116-3
NT-MAIN-6c1d6ee6,Ekati,,,CMP-caa580a0,Burgundy Diamond Mines,Lac de Gras,Northwest Territories,POINT (-110.618 64.715),active_facility,,,mining,"Underground, plant",Diamonds,Diamonds,Burgundy Diamond Mines (100%),Burgundy Diamond Mines (100%),1997–open,"
https://burgundydiamonds.com/","
https://burgundydiamonds.com/ekati-mine/",https://miningdataonline.com/property/17/Ekati-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
NB-MAIN-0c5b40d8,Nash Creek,,,CMP-336d5ebc,-,,New Brunswick,POINT (-66.09771 47.88939),project_facility,Active,Advanced project,project,,,"Zinc, lead, silver",,,,,,,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751
ON-MAIN-484e4fa3,Blind River,,,CMP-cadb529a,Cameco Corporation,,Ontario,POINT (-83.017246 46.180896),active_facility,,,manufacturing,Refinery,Uranium,Uranium (trioxide),,,,https://www.cameco.com/,https://www.cameco.com/businesses/fuel-services/refining-blind-river,-,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720
SK-MAIN-91cf5448,Cigar Lake,,,CMP-cadb529a,Cameco Corporation,Waterbury Lake,Saskatchewan,POINT (-104.54123 58.06819),active_facility,,,mining,Underground,Uranium,Uranium,"Cameco Corporation (54.547%), Orano Canada (40.453%), TEPCO Resources Inc (5%)",Cameco,2015–open,https://www.cameco.com/,https://www.cameco.com/businesses/uranium-operations/canada/cigar-lake,https://miningdataonline.com/property/26/Cigar-Lake-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720;https://doi.org/10.1038/s41597-024-03116-3
SK-MAIN-bb89158f,Key Lake,GRP-21eee27d,Key Lake + McArthur River,CMP-cadb529a,Cameco Corporation,north of Highrock Lake,Saskatchewan,POINT (-105.647 57.207),active_facility,,,mining,Concentrator,Uranium,Uranium,"Cameco (83.3%), Orano Canada (16.7%)",Cameco,,https://www.cameco.com/,https://www.cameco.com/businesses/uranium-operations/canada/mcarthur-river-key-lake,https://miningdataonline.com/property/54/McArthur-River---Key-Lake-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720
SK-MAIN-d3c471e8,McArthur River,GRP-21eee27d,Key Lake + McArthur River,CMP-cadb529a,Cameco Corporation,north of Key Lake,Saskatchewan,POINT (-105.053 57.7637),active_facility,,,mining,Underground,Uranium,Uranium,"Cameco (69.8%), Orano Canada (30.2%)",Cameco,,https://www.cameco.com/,https://www.cameco.com/businesses/uranium-operations/canada/mcarthur-river-key-lake,https://miningdataonline.com/property/54/McArthur-River---Key-Lake-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720
ON-MAIN-237587f6,Port Hope,,,CMP-cadb529a,Cameco Corporation,,Ontario,POINT (-78.2943 43.9429),active_facility,,,manufacturing,Conversion facility,Uranium,"Uranium (hexafluoride, dioxide, metals, alloys)","Cameco (83.33%), Orano (16.67%)",Cameco,,https://www.cameco.com/,https://www.cameco.com/businesses/fuel-services/conversion-port-hope,-,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720
ON-MAIN-4c5c1179,Crawford,,,CMP-336d5ebc,-,,Ontario,POINT (-81.37309 48.83972),project_facility,Active,Advanced project,project,,,"Nickel, iron ore, cobalt, palladium, platinum, chromite",Cameco (69.805%),Cameco,,,,,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751
NB-MAIN-8e04eb21,Murray Brook,,,CMP-336d5ebc,-,,New Brunswick,POINT (-66.43167 47.52528),project_facility,Active,Advanced project,project,,,"Zinc, lead, silver, copper, gold",Cameco (100%),Cameco,,,,,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751
ON-MAIN-37e9571e,Thierry,,,CMP-336d5ebc,-,,Ontario,POINT (-90.34694 51.49667),project_facility,Active,Advanced project,project,,,"Copper, nickel, silver, gold, platinum, palladium",,,,,,,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751
NB-MAIN-3e7d42ac,Woodstock,,,CMP-336d5ebc,-,,New Brunswick,POINT (-67.64 46.18),project_facility,Active,Advanced project,project,,,"Manganese, iron ore",,,,,,,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751
NU-MAIN-eae1621e,Ferguson Lake,,,CMP-336d5ebc,-,,Nunavut,POINT (-96.83306 62.87306),project_facility,Active,Advanced project,project,,,"Nickel, copper, palladium, platinum, cobalt",,,,,,,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751
QC-MAIN-5ce331b8,Nunavik Nickel,,,CMP-d87d1101,Canadian Royalties Inc,Kangiqsujuaq,Quebec,POINT (-74.1375 61.420856),active_facility,,,mining,"Open-pit, underground, concentrator",Base metals,"Nickel, copper, platinum group metals, cobalt",Jin Horoc Nonferrous Metal Group (100%),Canadian Royalties Inc,,https://www.canadianroyalties.com/,-,https://miningdataonline.com/property/1603/Nunavik-Nickel-Mine.aspx,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720
BC-MAIN-eba3e309,Golden Crown,,,CMP-336d5ebc,-,,British Columbia,POINT (-118.59 49.09),project_facility,Active,Advanced project,project,,,"Gold, copper",,,,,,,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751
BC-MAIN-e34feb4d,Kemess,,,CMP-fa032e20,Centerra Gold Inc,,British Columbia,POINT (-126.77117 57.05037),project_facility,Active,Advanced project,project,,,"Copper, gold, silver",,,,https://www.centerragold.com/,,,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751
